COUNTRY_ID,LANGUAGE_ID,OFFICIAL,COMMENTS
21,56,T ,
104,311,F,
108,23,T,
108,313,F,
117,7,F,
117,317,T,
119,318,T,
120,25,T,
120,34,T,
129,39,T,
129,323,F,
130,11,T,
130,323,T,
133,324,T,
134,11,F,
134,324,T,
142,7,T,
142,11,T,
142,25,T,
144,325,T,
144,39,F,
144,175,F,
148,11,T,
148,327,T,
148,8,T,
204,23,T,
204,613,T,
204,614,T,
207,23,T,
215,7,T,
216,11,T,
217,11,T,
217,615,F,
217,616,F,
208,617,T,
208,11,F,
157,7,t,
157,473,f,
157,474,f,
160,483,f,
165,496,f,
165,3,f,
165,39,f,
167,7,t,
167,503,f,
21,11,F ,
22,11,T ,
24,58,T ,
24,39,F ,
40,118,T ,
41,119,T ,
41,8,T ,
41,121,F ,
42,122,T ,
42,8,F ,
43,11,T ,
43,8,T ,
44,11,T ,
44,8, T ,
45,17, T ,
45,127, F ,
46,11, T ,
47,8, T ,
47,128, F ,
48,8, T ,
48,7, T ,
48,130, F ,
61,8, T ,
62,35, T ,
63,23, T ,
64,5, T ,
64,36, F ,
65,135, T ,
65,136, F ,
66,137,T ,
66,138,F ,
66,139,F ,
1,1,T,
1,2,F,
1,3,F,
2,4,T,
2,5,F,
2,6,F,
3,7,T,
3,8,F,
3,9,F,
4,10,T,
4,11,F,
4,12,F,
5,13,T,
5,11,F,
5,16,F,
6,17,T,
6,18,F,
7,11,T,
104,11,T,
9,11,T,
9,22,F,
10,23,T,
10,11,F,
10,25,F,
11,26,T,
11,27,F,
12,28,T,
12,29,F,
12,11,F,
15,11,T,
15,32,F,
15,25,F,
16,34,T,
16,35,F,
16,36,F,
17,37,T,
17,38,F,
17,39,F,
18,11,T,
18,53,F,
19,7,T,
19,11,F,
19,55,F,
167,8,f,
168,505,f,
168,506,f,
168,17,t,
169,11,t,
169,509,f,
169,34,f,
172,517,f,
172,518,f,
172,519,f,
173,28,t,
173,521,t,
176,11,t,
176,530,t,
179,11,t,
184,530,t,
184,11,f,
184,531,f,
186,558,f,
186,559,f,
186,560,t,
189,23,f,
189,11,t,
190,562,f,
190,11,f,
192,23,t,
192,563,t,
193,23,t,
193,82,t,
193,565,f,
194,566,t,
194,11,t,
197,17,t,
197,592,t,
100,23,F,
100,162,T,
112,163,F,
112,11,F,
113,11,T,
115,167,T,
115,11,F,
116,169,F,
116,3,F,
123,171,T,
160,23,F,
160,174,F,
196,175,F,
198,23,F,
198,11,F,
200,179,T,
200,39,F,
202,11,F,
202,182,F,
203,11,F,
203,23,F,
25,28,T,
25,8,T,
26,23,F,
26,11,T,
27,8,T,
27,78,F,
28,11,T,
28,17,F,
30,23,T,
30,82,T,
31,83,F,
31,35,F,
32,85,F,
32,11,T,
33,17,T,
33,23,F,
37,89,T,
37,11,F,
50,151,T,
50,152,F,
51,23,T,
56,8,T,
56,156,F,
83,8,T,
91,34,T,
